gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Gm4107	0.252691949267615	3.1797349742199	2.2101950825557	0.137101332752508	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Hnrnpl	-0.195257538488389	6.58084459280579	2.20903595342812	0.137204388360896	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Foxn3	0.14920668916482	7.59132738486339	2.20892932845121	0.137213872510125	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Pgrmc2	-0.295531913648627	4.25569555983337	2.20891002716621	0.137215589412155	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Wdfy4	0.887252553244456	-0.136920202177003	2.20871668084244	0.137232789424155	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gldnos	-0.771783252461319	0.247207056107539	2.20848570684636	0.137253339945676	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm43517	-0.319188738467046	3.00872440472857	2.2083072382087	0.137269221253048	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Prmt8	-0.179888555927345	5.46552351328641	2.20692202753932	0.137392556400409	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Cenpq	0.431661848759425	1.56646978531307	2.20610502150397	0.13746535846864	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Tbc1d1	0.20433891086025	5.76390411273877	2.20604119941621	0.137471047370382	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Hapln1	0.32008565644844	4.69111495832582	2.20454024285014	0.137604914051378	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm45495	-0.765989499081357	0.419738483098318	2.20429699570877	0.137626622428382	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm10827	0.299824245442921	2.99283143425209	2.20360690458016	0.137688229897721	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Bfsp1	0.57391913130276	0.600677427990769	2.20279094229739	0.137761114323219	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm14569	-1.03737611882798	-0.751433880863069	2.20146696620975	0.137879468237833	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Dach2	-0.326603176909415	3.58465901247894	2.20142192075231	0.137883496981311	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Pgghg	1.19000646454737	-1.14783726455275	2.20122563629073	0.137901053671273	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Npas2	-0.175887095482166	5.96881810941237	2.20118843015106	0.137904381861938	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Pcsk5	-0.197653898947817	5.52345814479439	2.20093743625575	0.137926836303154	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Bdnf	-0.544697647261391	1.74763438034074	2.20040769758929	0.137974241292355	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Tep1	0.476389704825853	1.43702525546037	2.20017493210155	0.137995076669857	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Rfc1	0.18039541530199	5.17740002417698	2.19941792464398	0.138062862553054	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Rbm26	-0.1698073626681	7.43201698598128	2.19936963914628	0.138067187521966	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Slc39a1	0.365794168489403	1.67859877761878	2.19854423435313	0.138141143156242	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Rnf6	0.206440268296727	3.97931500455515	2.19844299304912	0.138150217356713	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Flcn	-0.201517273702555	4.61218007305993	2.19781068664943	0.138206905743039	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Snapc1	0.205808393654342	3.78433404636776	2.19708020873136	0.138272428007248	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Yme1l1	0.175116027535484	6.58483067685938	2.19701058094301	0.138278675284864	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Enpp6	-0.753407484952893	0.349283166812549	2.19673259888468	0.13830362007717	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Psme4	-0.145367565077041	7.68142133105072	2.19620615335598	0.13835087463125	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Clmp	0.147313371786803	6.72734626521	2.19598226852172	0.138370976362385	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Surf4	-0.225363978711227	3.51113350676278	2.19556560947925	0.138408395244904	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Olfr373	-1.95786728701297	-1.47509473058344	2.19497461831748	0.138461489829223	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
1700041M19Rik	0.800572724480419	-0.173996444463359	2.19478946649516	0.138478128548124	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
C1qb	1.0302238512265	-0.135247663501148	2.19412734952397	0.13853764821953	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Col23a1	-0.524921346837878	1.51705271140936	2.19354415393643	0.138590097177436	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Tek	-0.414367575866983	4.07558576046713	2.19340121883699	0.138602955262569	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Lgals1	-0.441185310299176	2.60983524919715	2.19329074169732	0.138612894427283	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Shisa2	-0.499585090943218	1.16783834113258	2.19278104953276	0.138658759645265	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm47002	-1.97398338138406	-1.47457533533943	2.19273251129508	0.138663128300309	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Alas2	-0.584925952410954	2.30705347742027	2.19253665459357	0.138680757833889	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Eif5	-0.233356549558748	5.55434109164675	2.19226816454154	0.138704929355818	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Esyt2	-0.150570151478215	7.34451824536257	2.19097989920448	0.138820974578886	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Nxpe4	0.218511732799932	6.79241106387533	2.19091696796196	0.138826646130477	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Agrn	-0.217915963085463	5.53088069830272	2.19070819766402	0.138845462994918	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Tspyl1	-0.265654012610277	4.61837044615428	2.19027576497685	0.138884448077496	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
5430402O13Rik	0.273986875464676	3.23705589524327	2.18919794708501	0.138981669996036	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Dmrtc1a	0.873634795519994	-0.143542460579725	2.18864602786434	0.139031484071681	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Cic	-0.262660070162878	4.55048996495614	2.18827593625137	0.139064898315897	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm47095	1.46776503480136	-1.39881072686391	2.18669010429786	0.1392081794503	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Golim4	0.197780909299591	5.32520813412889	2.18475838775647	0.139382935344655	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Cpeb2	-0.197923243954666	7.11640885209643	2.18331149569497	0.13951399205753	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm11099	-0.349719392842562	2.16586548969314	2.18304846540646	0.139537831689608	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
2310061I04Rik	-0.350964534747732	5.50491380527139	2.18249733972496	0.139587797545136	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Adra1a	-0.167225524024367	8.11403623461726	2.1815100683755	0.139677355214951	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Cpne5	-0.270002671072809	4.62527989081162	2.18140903915918	0.13968652344589	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Slx1b	0.244287058914625	4.52443241999368	2.1805447781971	0.139764981280762	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Trim12a	1.92013391716102	-0.599517309449837	2.18053563805934	0.139765811289125	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Erg	1.05570240629413	-0.574916319962768	2.17913242410013	0.139893301642578	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Ccdc30	-0.150555552374531	6.1445530710263	2.17891428887399	0.139913132250053	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Acot4	-1.2378480865774	-0.791845799254814	2.1788060740363	0.139922971199302	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Hgsnat	0.169332375292084	5.00219509913419	2.1781502239745	0.139982618049004	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Plekhh1	-0.248943370041789	4.37070607864993	2.17766588209593	0.140026685263073	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Zfp935	0.703795342796841	0.145532449177317	2.17723304089589	0.14006607993387	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Prpf8	-0.21031561207379	5.59673698936719	2.1764918730657	0.140133565588006	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Rps4x	-0.216702090650885	4.11073584501117	2.17597930437888	0.140180257927258	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
