gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
5031425E22Rik	-0.069627019	7.224822065	0.58369643	0.444867075	0.805444136	pseudobulk	edgeR	LRT
Gmcl1	0.076097574	7.064765318	0.583137676	0.445085074	0.805444136	pseudobulk	edgeR	LRT
Cul4a	-0.077992911	6.281187826	0.583040788	0.445122891	0.805444136	pseudobulk	edgeR	LRT
Vta1	0.080100437	6.20638264	0.583040386	0.445123048	0.805444136	pseudobulk	edgeR	LRT
Zdhhc17	-0.060483339	7.029151969	0.582222887	0.445442337	0.805561508	pseudobulk	edgeR	LRT
Fam234b	-0.096371958	5.732802668	0.581980833	0.445536943	0.805561508	pseudobulk	edgeR	LRT
Tspan5	-0.049739384	9.027959421	0.581238906	0.445827119	0.805695991	pseudobulk	edgeR	LRT
Chga	-0.119919297	6.410290405	0.580898352	0.445960411	0.805695991	pseudobulk	edgeR	LRT
Pgm1	0.093264573	5.668827183	0.58042281	0.446146641	0.805717094	pseudobulk	edgeR	LRT
Morf4l2	-0.086366053	6.2551572	0.579196903	0.446627282	0.805970464	pseudobulk	edgeR	LRT
Rtf1	-0.09255522	6.217653019	0.579174315	0.446636145	0.805970464	pseudobulk	edgeR	LRT
Cope	-0.10813956	5.908174308	0.578199309	0.447019001	0.806171475	pseudobulk	edgeR	LRT
Cbl	-0.083179004	6.318914188	0.577552357	0.447273321	0.806171475	pseudobulk	edgeR	LRT
Kit	-0.129407208	6.715489057	0.577444752	0.447315643	0.806171475	pseudobulk	edgeR	LRT
Lhfp	-0.115470132	6.651674574	0.577052241	0.447470073	0.806171475	pseudobulk	edgeR	LRT
Mical3	0.045644979	8.26611128	0.576585725	0.447653728	0.806171475	pseudobulk	edgeR	LRT
Nipa2	-0.090102355	6.027508786	0.576226004	0.447795421	0.806171475	pseudobulk	edgeR	LRT
Ate1	0.094038441	6.045109144	0.575342768	0.448143619	0.806344008	pseudobulk	edgeR	LRT
