gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type	perturbation	condition
Ube2k	-0.563904751518192	7.63764124591315	9.16781559853247	0.00246308389028374	0.361252303908282	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Atp5c1	0.629073510417861	6.94191380849876	9.02441748913374	0.00266396806212177	0.366392351069762	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Zfp608	0.884664122334502	6.44537162796403	9.02393478235467	0.00266467164414372	0.366392351069762	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
9530059O14Rik	0.49358613133084	8.90916504219875	8.90013077426002	0.00285150233366205	0.37052650516869	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Serpine2	-0.914069919437317	6.5779475674885	8.86246290563438	0.00291094549846126	0.37052650516869	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Snca	-0.624410556730665	7.57199921573858	8.83976562870349	0.00294736992747821	0.37052650516869	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Zswim5	-1.06629619410124	6.16399037357274	8.68066209032263	0.00321604131089423	0.380975077776366	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Raph1	0.501965752416177	7.64184847160296	8.64072718181945	0.00328730193486492	0.380975077776366	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Hlcs	-0.93177580140944	6.30231722023302	8.63909999602178	0.00329023930806862	0.380975077776366	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gpc5	-1.02271118948609	7.47594743644938	8.55465993030113	0.00344638877324265	0.388823348776093	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cbx5	-1.03184620337003	6.07815196331733	8.4939294094114	0.00356333388269585	0.391966727096544	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cep112	-0.452232915434916	8.74065728214437	8.19389186922215	0.00420316592248042	0.437643594872846	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Napg	-0.808551217421751	6.54353451131529	8.15047685249894	0.00430498394802039	0.437643594872846	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Lrrk2	-0.597996623692545	7.6298087255141	8.13660327547729	0.00433804721502033	0.437643594872846	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mpp6	-0.515567872588336	7.87661341680199	8.12062951501678	0.00437643594872846	0.437643594872846	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
1700019D03Rik	-0.943030323988357	6.25603312791096	8.05982104101564	0.00452576537452953	0.442519281065109	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ero1lb	-0.897612705090899	6.27225352410264	7.99369599612215	0.00469404948490609	0.44899603768667	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Npr3	-0.836782237552176	6.53533198845784	7.85611652292393	0.00506490644733925	0.474161454644525	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Rnf217	-0.56192539639773	7.48736317773395	7.51472267751104	0.00611967064832613	0.560776558674386	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Serf2	-0.886514337616343	6.11044171213865	7.47821026441514	0.00624501167614657	0.560776558674386	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Atp8b1	0.779387625022206	6.17230706657672	7.3865427134967	0.00657136805264681	0.578280388632919	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Grb14	0.880970622618137	6.14391702913661	7.27992121423716	0.00697295942423914	0.601588656208867	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gm10754	0.695098309781197	6.8810951404077	7.18907054169718	0.0073348964871171	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mib2	0.647895191841186	6.41568725554131	7.07454201497623	0.00781868036582137	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Dexi	-0.803915331834937	6.22343002647948	6.96782813321686	0.00829881621327526	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Stox2	0.43068886957987	7.61860257422522	6.90076560600619	0.00861588450723413	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cntfr	0.571110744602659	7.70860542771154	6.89943051399457	0.00862232110524516	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gm42707	-0.895100849530532	6.05642278636009	6.87558160873347	0.00873813163863164	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Zdhhc2	-0.77018753601897	6.62844554056478	6.86630175986375	0.00878362388015554	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Hspa4	-0.592584391899538	7.25198798520155	6.82941939700257	0.00896684083520403	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Zeb1	-0.405765969024557	8.44923971563615	6.82597131562917	0.00898416831371874	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Akr1a1	-0.893363597273116	5.98725730930097	6.81018783764692	0.00906392298022161	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Lmo3	-0.687624898455599	6.87482925603614	6.78837573205751	0.00917533544498813	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Dop1b	-0.542535144975113	7.17573846616239	6.73134932721238	0.00947329111843842	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Asic2	-0.418048759877615	11.5486224579178	6.71584599643673	0.00955599483408298	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Pls1	-0.876144657748639	6.11059274516249	6.6938452156957	0.00967463125399293	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Tank	-0.853487641133187	6.1405946665864	6.65752574157876	0.00987379173101661	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Kctd8	-0.920674534146582	6.88254980257515	6.65339723166922	0.00989669509717665	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Atp6v1a	-0.577660723653114	7.21309392563863	6.64824300814396	0.00992536515963512	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mitf	-0.804147633970284	7.25134680111222	6.63905447441169	0.00997668714841515	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Plcl1	-0.897758528282164	6.63854856473346	6.62855508957485	0.0100356639008331	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Edil3	-0.592206007901921	8.5084690385839	6.6216882870678	0.0100744290169967	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Epc1	-0.587459270150674	7.14419773997001	6.62104643068764	0.0100780603195566	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ivns1abp	-0.72667565284213	6.36755391430461	6.58130298617459	0.0103055427627821	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mat2b	0.723067664137323	6.12511430389799	6.57947744760638	0.0103161173079179	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Dlgap4	-0.475534370607371	7.71432403209708	6.57499565224262	0.0103421255927647	0.606738034775529	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Lrrtm4	-0.478151379218426	12.4799753330786	6.52353668685446	0.0106456098670022	0.616324781773811	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Lias	0.774254546963772	5.96344671273971	6.4848977970517	0.0108794794101432	0.62168453772247	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Map3k5	-0.664347232309612	7.13279448331259	6.44919905667101	0.0111002372523864	0.62561796045539	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Sacm1l	-0.559119642956175	7.07333766263898	6.42812872634404	0.0112326861081763	0.62561796045539	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Slc10a7	-0.764770917520456	6.24753081307723	6.38988120176653	0.011477270937242	0.629738363837335	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
L3mbtl1	-0.711800878635828	6.45819985981585	6.37208806446152	0.0115929107888237	0.629738363837335	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gab2	-0.582539019640965	6.95532786757492	6.31204596840444	0.0119920375161275	0.630133167947015	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Dync1i2	-0.416645149900614	7.99391613136657	6.30249896738263	0.0120567890407213	0.630133167947015	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
9930021J03Rik	-0.587402667824887	7.07213880197926	6.2977591573925	0.0120890695793489	0.630133167947015	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Glce	-1.14529508152752	5.65943630255786	6.28549213327559	0.0121730271080673	0.630133167947015	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Zcchc17	-0.93860928247772	5.880733254819	6.25795500194788	0.0123636840508825	0.632560579347477	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cep350	0.494572686407937	7.1864429902234	6.23103529089232	0.012553032382159	0.633488865345181	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Glrb	-0.533307254545509	7.16835150836598	6.18022300286691	0.0129185994073697	0.633488865345181	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Eef1g	-0.932376685573215	5.8041584138545	6.16982262778536	0.0129947636808535	0.633488865345181	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gtdc1	-0.402585907669429	8.49695498653875	6.16694146151409	0.0130159446421299	0.633488865345181	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Syt17	0.740410268626007	6.12952391621458	6.15532532974409	0.0131017015332753	0.633488865345181	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Atp8a2	-0.392973954099788	8.64348442346828	6.11959944202919	0.0133691091447801	0.636127756327365	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gm20754	-0.557786509366778	8.28219744345648	6.10953792740364	0.0134454275769193	0.636127756327365	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Rsbn1	-0.764528276821702	6.43459833300929	6.0551503834388	0.0138657945942491	0.649037193773362	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cope	-0.967694391767921	5.81921379550188	5.99722031615116	0.0143284363295722	0.659440384407465	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cyp51	-0.859107101104354	6.09910325587543	5.96508030048508	0.0145919360338187	0.659440384407465	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Carnmt1	-0.890249074393482	5.8453746703536	5.95931184970944	0.0146397540897499	0.659440384407465	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Kif5b	0.448391709290882	7.31746523039005	5.95356712140692	0.0146875358345299	0.659440384407465	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Samd4	-0.846579831759835	6.27402608374928	5.91127991360936	0.0150442374771267	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ntrk2	-0.302666472701828	9.93213532048038	5.82449927793148	0.0158044666631079	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cdyl2	-0.67413363805541	6.80980310942731	5.77793265737528	0.016228618444239	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cdh2	-0.419681343475378	8.66710169455482	5.75164643444003	0.0164732107955472	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cul2	-0.658606891588857	6.73649931527698	5.74412985646848	0.0165438487955295	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Crppa	-0.783258427758682	6.30191518264212	5.72999221971115	0.0166775565132521	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
