gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Nlk	-0.006390749	8.900516475	0.06110491	0.804758032	0.957162241	pseudobulk	edgeR	LRT
Pdia6	0.013922271	4.776970984	0.060879674	0.805110943	0.957162241	pseudobulk	edgeR	LRT
Slc7a6	0.00947617	6.156062992	0.060859059	0.805143279	0.957162241	pseudobulk	edgeR	LRT
Rasgef1b	0.005545081	9.299278582	0.060280683	0.806052859	0.957870083	pseudobulk	edgeR	LRT
Jpx	-0.011330038	5.423299647	0.060105391	0.806329443	0.958105406	pseudobulk	edgeR	LRT
Pip4p1	0.01012282	5.707793362	0.05917409	0.807806118	0.95887911	pseudobulk	edgeR	LRT
Syndig1	-0.007471178	7.536314326	0.058523023	0.808845778	0.959739564	pseudobulk	edgeR	LRT
Txndc16	-0.009214874	6.090059305	0.058351392	0.809120866	0.959925617	pseudobulk	edgeR	LRT
Tmem131l	-0.012160734	5.26679974	0.058329043	0.809156718	0.959925617	pseudobulk	edgeR	LRT
Tent4b	0.010462741	5.692126529	0.0579037	0.809840442	0.960211585	pseudobulk	edgeR	LRT
Slc10a7	-0.012882812	4.93370807	0.057734298	0.81011349	0.960356155	pseudobulk	edgeR	LRT
Acsl1	-0.010448544	5.626949263	0.057479188	0.810525485	0.960657806	pseudobulk	edgeR	LRT
Zmym5	0.01287492	5.105339771	0.057212482	0.810957243	0.960936073	pseudobulk	edgeR	LRT
Eml1	0.009214943	6.516171045	0.057069629	0.811188937	0.961163925	pseudobulk	edgeR	LRT
Itch	-0.009380414	6.48723331	0.056783129	0.811654542	0.961575481	pseudobulk	edgeR	LRT
Uggt2	-0.007500337	7.205326574	0.05659082	0.811967768	0.961713013	pseudobulk	edgeR	LRT
Bcor	0.011789479	5.314554563	0.056545344	0.81204192	0.961747549	pseudobulk	edgeR	LRT
Ppm1a	0.009332901	6.101079548	0.056500675	0.812114788	0.961747549	pseudobulk	edgeR	LRT
Fech	-0.013385471	5.11612322	0.056493394	0.812126667	0.961747549	pseudobulk	edgeR	LRT
Frrs1l	-0.01046604	6.758001304	0.056156953	0.812676509	0.961991915	pseudobulk	edgeR	LRT
Zfp251	0.014442728	4.643684254	0.055567078	0.813644749	0.962784887	pseudobulk	edgeR	LRT
Rab3c	0.00789817	7.048404664	0.05548029	0.813787662	0.962839962	pseudobulk	edgeR	LRT
Nr4a1	-0.007896874	6.985652931	0.055080405	0.814447681	0.963201684	pseudobulk	edgeR	LRT
Tmem29	0.010154524	5.54381482	0.05468819	0.815097502	0.963828693	pseudobulk	edgeR	LRT
Fbxl12	-0.011703979	5.439318767	0.054564407	0.815303094	0.963884891	pseudobulk	edgeR	LRT
Kcna6	0.010689842	5.537499986	0.054385124	0.815601304	0.964143986	pseudobulk	edgeR	LRT
Ppm1b	0.008639349	6.445136287	0.054157176	0.815981211	0.964312679	pseudobulk	edgeR	LRT
Diras2	0.009214909	5.999815701	0.053648071	0.816832758	0.964899753	pseudobulk	edgeR	LRT
