gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Wdr41	0.022383267	4.873493179	0.127455476	0.721085016	0.904973458	pseudobulk	edgeR	LRT
Pla2g4e	-0.022227395	5.371515188	0.127178696	0.721375388	0.905134877	pseudobulk	edgeR	LRT
Fech	0.020352293	5.050120639	0.127073745	0.721485586	0.905134877	pseudobulk	edgeR	LRT
Me1	0.015764041	6.051138671	0.127053713	0.721506625	0.905134877	pseudobulk	edgeR	LRT
Junos	0.026020308	4.503080471	0.126737477	0.721839012	0.905268684	pseudobulk	edgeR	LRT
Ilf2	0.023017987	4.773016961	0.124519777	0.724183205	0.906902601	pseudobulk	edgeR	LRT
Fermt2	-0.016964267	5.768153526	0.124317594	0.724398083	0.907078528	pseudobulk	edgeR	LRT
Wdr12	-0.024144219	4.502428602	0.124011397	0.724723883	0.907335198	pseudobulk	edgeR	LRT
Sorbs2os	0.017636311	5.443716592	0.123749961	0.725002414	0.907382002	pseudobulk	edgeR	LRT
Tpd52l2	-0.023231644	4.529196291	0.123493614	0.725275844	0.90753192	pseudobulk	edgeR	LRT
Stard7	-0.017769838	5.593659452	0.123453728	0.725318417	0.90753192	pseudobulk	edgeR	LRT
Lhfpl4	-0.021911449	4.932024135	0.123333244	0.725447063	0.907602687	pseudobulk	edgeR	LRT
Osbpl6	-0.009414974	8.298183047	0.123083058	0.725714426	0.907747949	pseudobulk	edgeR	LRT
Alkbh3	0.022395005	4.544502113	0.122401279	0.726444562	0.908403566	pseudobulk	edgeR	LRT
Ptprk	0.019964621	6.48776222	0.121552872	0.727356339	0.909055627	pseudobulk	edgeR	LRT
Pafah1b2	0.023679618	4.911114921	0.12068943	0.728287947	0.909940134	pseudobulk	edgeR	LRT
Atg4d	0.019687726	5.221287756	0.120576421	0.728410153	0.909999569	pseudobulk	edgeR	LRT
Nt5c3	0.019439339	5.203852324	0.12008094	0.72894672	0.910398689	pseudobulk	edgeR	LRT
Pa2g4	0.021772451	4.646211106	0.119745727	0.729310432	0.910611106	pseudobulk	edgeR	LRT
Cltb	0.017371747	5.477143318	0.118837869	0.730298348	0.911588359	pseudobulk	edgeR	LRT
Sugt1	-0.019873385	5.040468173	0.118820384	0.730317416	0.911588359	pseudobulk	edgeR	LRT
