gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Ube2j2	-0.018531763	5.12372371	0.034004605	0.853697022	1	pseudobulk	edgeR	LRT
Strbp	-0.010246194	8.984453983	0.033999329	0.853708243	1	pseudobulk	edgeR	LRT
Strn	0.013256112	6.174663133	0.033685521	0.854377351	1	pseudobulk	edgeR	LRT
Ppp1r10	-0.015524383	5.669827697	0.033636926	0.854481255	1	pseudobulk	edgeR	LRT
Tnks	-0.011545935	7.519245542	0.033466247	0.854846806	1	pseudobulk	edgeR	LRT
Hectd2	-0.012242307	6.44060615	0.033366913	0.855059997	1	pseudobulk	edgeR	LRT
Rnf185	-0.023271974	4.797322308	0.033341049	0.855115562	1	pseudobulk	edgeR	LRT
Sf3a1	-0.019544287	5.099275108	0.033100628	0.855633126	1	pseudobulk	edgeR	LRT
Atp6v1d	-0.014038999	5.754122643	0.03301788	0.855811709	1	pseudobulk	edgeR	LRT
Sh3gl2	-0.010758737	7.973838158	0.032911564	0.856041496	1	pseudobulk	edgeR	LRT
Cfap36	-0.015253935	5.721930668	0.032691976	0.856517321	1	pseudobulk	edgeR	LRT
Mrpl24	-0.022888492	4.532069092	0.032595872	0.856726088	1	pseudobulk	edgeR	LRT
Vdac1	0.012536239	6.505351701	0.032521726	0.856887373	1	pseudobulk	edgeR	LRT
Phf3	-0.012233128	7.058346928	0.032382658	0.857190393	1	pseudobulk	edgeR	LRT
Orc4	-0.011170116	6.830713899	0.032229491	0.85752491	1	pseudobulk	edgeR	LRT
Cnot1	-0.011404139	6.684170989	0.032224588	0.85753563	1	pseudobulk	edgeR	LRT
Mrpl3	-0.014968992	5.67888693	0.032197656	0.857594538	1	pseudobulk	edgeR	LRT
Pias2	0.011809543	7.343181577	0.032073088	0.85786734	1	pseudobulk	edgeR	LRT
Idh3a	-0.014996318	5.932554829	0.031945767	0.858146738	1	pseudobulk	edgeR	LRT
Sec63	-0.014637782	6.201977978	0.031865848	0.858322408	1	pseudobulk	edgeR	LRT
Iqgap1	-0.015094276	5.468153586	0.031764756	0.858544944	1	pseudobulk	edgeR	LRT
Carf	-0.018652502	5.020713072	0.031407813	0.859333625	1	pseudobulk	edgeR	LRT
Cryl1	-0.020176407	4.56942988	0.031392113	0.859368423	1	pseudobulk	edgeR	LRT
Cct6a	0.019325806	4.588873052	0.031054852	0.860118069	1	pseudobulk	edgeR	LRT
Gspt1	0.013300361	5.89779018	0.03076331	0.860769483	1	pseudobulk	edgeR	LRT
Mctp1	0.011728781	9.084069866	0.030654119	0.861014276	1	pseudobulk	edgeR	LRT
9630002D21Rik	-0.012657387	6.63572143	0.030550893	0.86124611	1	pseudobulk	edgeR	LRT
Masp1	0.020248544	4.600016934	0.030106065	0.862249786	1	pseudobulk	edgeR	LRT
Nova2	0.01604274	5.623725805	0.03009894	0.862265925	1	pseudobulk	edgeR	LRT
Gne	-0.018743503	4.803824878	0.029835359	0.86286433	1	pseudobulk	edgeR	LRT
Rtn4	0.00977001	7.493206863	0.029814098	0.862912717	1	pseudobulk	edgeR	LRT
Bace1	0.017019526	4.980144834	0.029777586	0.862995854	1	pseudobulk	edgeR	LRT
Sirpa	0.012378569	6.1265305	0.029708978	0.863152217	1	pseudobulk	edgeR	LRT
Gtf2a1	0.016025022	5.246682878	0.029531688	0.863557136	1	pseudobulk	edgeR	LRT
Lonrf2	-0.012142894	6.356911082	0.029468374	0.863702044	1	pseudobulk	edgeR	LRT
Gosr1	-0.016762849	4.973553918	0.029373857	0.863918665	1	pseudobulk	edgeR	LRT
Ltbp3	-0.018749319	5.05016132	0.029321665	0.864038436	1	pseudobulk	edgeR	LRT
Cntnap5a	0.010007305	10.19509873	0.029266326	0.864165551	1	pseudobulk	edgeR	LRT
Trafd1	-0.014738128	5.415833035	0.029069654	0.86461831	1	pseudobulk	edgeR	LRT
Dcaf17	0.01485694	5.852832771	0.028877225	0.865062828	1	pseudobulk	edgeR	LRT
Poglut1	-0.016170214	5.176798884	0.028873162	0.86507223	1	pseudobulk	edgeR	LRT
Slc39a13	0.022680068	4.668694655	0.028751908	0.865353135	1	pseudobulk	edgeR	LRT
Bbs4	-0.018587083	4.790019938	0.028721868	0.865422822	1	pseudobulk	edgeR	LRT
Zfp740	0.016533096	4.971051857	0.028609286	0.865684322	1	pseudobulk	edgeR	LRT
D5Ertd579e	-0.010515972	6.865387941	0.028554644	0.865811432	1	pseudobulk	edgeR	LRT
D3Ertd751e	0.012624929	6.025219958	0.028439736	0.866079148	1	pseudobulk	edgeR	LRT
Set	0.017845725	4.740571267	0.028366106	0.866250985	1	pseudobulk	edgeR	LRT
9330159F19Rik	0.017750889	4.721604409	0.028059641	0.866968683	1	pseudobulk	edgeR	LRT
Fam126b	-0.011508756	6.686296194	0.027974616	0.867168514	1	pseudobulk	edgeR	LRT
Abhd14b	-0.014403917	5.529911978	0.02778458	0.867616278	1	pseudobulk	edgeR	LRT
Cyb5r4	0.013592802	5.900878937	0.027576626	0.868108069	1	pseudobulk	edgeR	LRT
Kif5c	-0.008738317	8.483782123	0.027223363	0.868947886	1	pseudobulk	edgeR	LRT
Sh3bp5l	-0.017849849	4.745210679	0.026973863	0.869544406	1	pseudobulk	edgeR	LRT
Nipbl	0.009715289	7.460570935	0.026779955	0.870009971	1	pseudobulk	edgeR	LRT
1810013L24Rik	0.012078776	6.170884106	0.026684735	0.870239225	1	pseudobulk	edgeR	LRT
Naa15	0.011787109	6.283057786	0.026616858	0.870402901	1	pseudobulk	edgeR	LRT
Cacna2d2	-0.012212448	6.94354448	0.026612888	0.870412481	1	pseudobulk	edgeR	LRT
Cox5b	0.019301149	4.538413363	0.026554344	0.870553836	1	pseudobulk	edgeR	LRT
Spata5	-0.00992248	6.873131893	0.026257509	0.871273024	1	pseudobulk	edgeR	LRT
Add1	0.010145975	6.780218588	0.026202556	0.871406625	1	pseudobulk	edgeR	LRT
Tex264	0.019123886	4.526067285	0.02590989	0.872120578	1	pseudobulk	edgeR	LRT
Zfp512	0.013313645	5.598509511	0.025875981	0.872203565	1	pseudobulk	edgeR	LRT
Cacul1	-0.011828942	6.168675588	0.0257024	0.872629257	1	pseudobulk	edgeR	LRT
Tmem25	0.013002701	5.805305711	0.025601398	0.872877634	1	pseudobulk	edgeR	LRT
Comt	0.013727219	5.376760609	0.025494262	0.873141643	1	pseudobulk	edgeR	LRT
Rsbn1	0.012091018	6.104288286	0.02538183	0.873419316	1	pseudobulk	edgeR	LRT
Lhfp	-0.014564299	6.015547787	0.025364825	0.87346137	1	pseudobulk	edgeR	LRT
Manf	0.017598958	4.646285038	0.025277674	0.873677114	1	pseudobulk	edgeR	LRT
Crocc	0.015886442	4.913813776	0.024957983	0.874471805	1	pseudobulk	edgeR	LRT
Arl15	0.009132799	8.504444653	0.024951811	0.874487198	1	pseudobulk	edgeR	LRT
Map3k5	-0.013835656	5.301545332	0.024939733	0.874517326	1	pseudobulk	edgeR	LRT
