gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Cd34	0.774989924402472	5.67911918324818	12.7898234639175	0.000348510005601268	0.0117218963065383	pseudobulk	edgeR	LRT	Supp_layer_neurons
Plch2	-0.506941959029015	5.13208338418308	12.7767077755688	0.000350962061138362	0.0117666120003018	pseudobulk	edgeR	LRT	Supp_layer_neurons
Masp1	0.753214283508993	1.85849744554583	12.7753089612665	0.000351224602406704	0.0117666120003018	pseudobulk	edgeR	LRT	Supp_layer_neurons
Shank2	-0.435208420961903	8.34783295595188	12.774824438713	0.000351315587865496	0.0117666120003018	pseudobulk	edgeR	LRT	Supp_layer_neurons
Acadl	0.922455096587349	0.323534674798531	12.7508773169703	0.000355842215123019	0.0119015534719607	pseudobulk	edgeR	LRT	Supp_layer_neurons
Pcdh17	-0.628110369693682	7.32594172878473	12.7431040338631	0.000357324177515234	0.0119344279065633	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm29100	-1.08902608133511	-0.550157005781783	12.7247576403965	0.000360846615600265	0.0120352663395603	pseudobulk	edgeR	LRT	Supp_layer_neurons
1700010G06Rik	1.35754933038995	-0.454383261528075	12.7219911430677	0.000361380802906335	0.0120362959898358	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ehd3	-0.464355782924247	4.27346831782895	12.7176368848466	0.0003622231895028	0.0120475735101112	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ftcd	1.99810175020256	-1.46269614228271	12.7088865845692	0.000363922040253788	0.0120872662092071	pseudobulk	edgeR	LRT	Supp_layer_neurons
Rassf6	0.824608599188669	0.113327573142575	12.7046040059993	0.000364756419816941	0.012098176176841	pseudobulk	edgeR	LRT	Supp_layer_neurons
Nmnat2	-0.453597674001424	7.94108031301728	12.7016735303739	0.000365328479273043	0.0121003673868913	pseudobulk	edgeR	LRT	Supp_layer_neurons
Efcab6	-0.474917561788365	5.78345173039308	12.6793848891238	0.000369709174430301	0.0122285272438814	pseudobulk	edgeR	LRT	Supp_layer_neurons
Runx2os1	-0.631238790454355	3.14868736861082	12.6687006764083	0.000371827838946189	0.0122816173212143	pseudobulk	edgeR	LRT	Supp_layer_neurons
Wdr76	0.55643705088037	2.51839645600664	12.6538346219176	0.000374796147412971	0.0123625863023914	pseudobulk	edgeR	LRT	Supp_layer_neurons
Camk2g	0.440532150418429	6.50141664819312	12.6351221869761	0.000378566467095549	0.0124691060285301	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm30790	-4.94313343904698	-3.19828594742552	12.6314468585714	0.00037931148253303	0.0124691060285301	pseudobulk	edgeR	LRT	Supp_layer_neurons
Cap2	-0.370634837321175	8.63824811851324	12.630075989219	0.000379589746122351	0.0124691060285301	pseudobulk	edgeR	LRT	Supp_layer_neurons
Klhdc8b	-0.596497250202539	3.84696028279276	12.6169059544905	0.000382273557175268	0.012540040941412	pseudobulk	edgeR	LRT	Supp_layer_neurons
Steap2	-0.596565065161712	2.17064855156819	12.6057094429128	0.000384570249053063	0.0125980999121301	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gramd4	-0.664910436007782	5.44076136511689	12.5802491389677	0.000389844759423231	0.0127450073896284	pseudobulk	edgeR	LRT	Supp_layer_neurons
Stx17	0.425088953132288	5.17320900295219	12.5789269454554	0.000390120657740568	0.0127450073896284	pseudobulk	edgeR	LRT	Supp_layer_neurons
4921504A21Rik	0.745118506026934	1.7989847454148	12.5621999374469	0.000393628089912339	0.012842049307181	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gabra1	0.381366153504143	7.43046569842725	12.5525648981352	0.000395662851572503	0.01289084663829	pseudobulk	edgeR	LRT	Supp_layer_neurons
Sec1	0.720754713133982	1.93340349370576	12.5475960090281	0.000396716342749616	0.0129075845177065	pseudobulk	edgeR	LRT	Supp_layer_neurons
Nkain2	-0.374178143829275	11.8985346459499	12.5433779163241	0.00039761287236206	0.0129191769424814	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ampd3	0.488628632116486	3.50559978244088	12.5284411008316	0.000400804066202067	0.0129813618454003	pseudobulk	edgeR	LRT	Supp_layer_neurons
Plat	-0.428549835688881	4.02435902432302	12.5278290930442	0.000400935368954953	0.0129813618454003	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gsg1l	-0.646243205577661	6.37852368727073	12.526522713322	0.000401215790406731	0.0129813618454003	pseudobulk	edgeR	LRT	Supp_layer_neurons
Olfr859	2.05133941950656	-2.67083835409954	12.5221259992574	0.000402161023154844	0.0129813618454003	pseudobulk	edgeR	LRT	Supp_layer_neurons
Dpysl5	-0.830270113367778	4.26720303737695	12.5217548854305	0.000402240910238421	0.0129813618454003	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gfra1	-1.22886897029896	2.2908061786649	12.4933901609937	0.000408394400913558	0.0131621882795779	pseudobulk	edgeR	LRT	Supp_layer_neurons
Spaca6	0.389402114622182	5.66846286100581	12.4812504239399	0.000411056954506278	0.0132301695963164	pseudobulk	edgeR	LRT	Supp_layer_neurons
Epor	-0.686564931464926	1.43044699325666	12.4750992191128	0.000412412748447754	0.0132559656806177	pseudobulk	edgeR	LRT	Supp_layer_neurons
Insyn2a	-0.823373390197275	3.96288336958037	12.4492452029167	0.000418160771006604	0.0134226801044992	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ammecr1	0.458361378692761	5.54141432640114	12.443014795945	0.00041955799724468	0.0134494771395567	pseudobulk	edgeR	LRT	Supp_layer_neurons
Prmt2	-0.400738084832365	5.08154883928364	12.4353535340943	0.00042128256481587	0.01348668173361	pseudobulk	edgeR	LRT	Supp_layer_neurons
Rilpl1	-0.443043286623553	5.98632823819616	12.4291661899038	0.000422680569345194	0.0135133464375949	pseudobulk	edgeR	LRT	Supp_layer_neurons
Aff3	-0.485850971684026	8.70344853483273	12.4076681291265	0.000427574453388748	0.0136515560458458	pseudobulk	edgeR	LRT	Supp_layer_neurons
Me1	-0.390129714498037	5.69553004236911	12.3851453795623	0.000432762940594416	0.0137987906151665	pseudobulk	edgeR	LRT	Supp_layer_neurons
Sgms2	0.914399306491474	0.088829324986855	12.3749052009544	0.000435142897301911	0.0138562013929133	pseudobulk	edgeR	LRT	Supp_layer_neurons
Trim2	-0.503266425370858	8.10915097079813	12.3626024396636	0.0004380196977207	0.0139292593767192	pseudobulk	edgeR	LRT	Supp_layer_neurons
Arrb2	-0.503324590724856	4.06007549896194	12.3496284586319	0.000441074245106175	0.014007768256931	pseudobulk	edgeR	LRT	Supp_layer_neurons
Rtp4	1.12010891653327	1.94300792677424	12.3184434166779	0.000448504558295189	0.0141999896469034	pseudobulk	edgeR	LRT	Supp_layer_neurons
Zdhhc23	0.373460844257105	5.31429282321946	12.3170315561583	0.000448843928482759	0.0141999896469034	pseudobulk	edgeR	LRT	Supp_layer_neurons
Iqsec1	-0.357693625022515	8.76344933826218	12.3167640356831	0.000448908261815631	0.0141999896469034	pseudobulk	edgeR	LRT	Supp_layer_neurons
Map4k4	-0.399437331941299	6.26187806031549	12.3107967594613	0.000450345693643025	0.0142228956364055	pseudobulk	edgeR	LRT	Supp_layer_neurons
Cc2d2a	0.421412159809901	5.36127513499926	12.3088241040269	0.000450821898987848	0.0142228956364055	pseudobulk	edgeR	LRT	Supp_layer_neurons
Arhgap12	0.491675768861672	3.99531987171152	12.3010680389817	0.000452699169607887	0.0142633042714137	pseudobulk	edgeR	LRT	Supp_layer_neurons
Rreb1	0.47727748114325	5.4431769972012	12.2972022921445	0.000453637774904249	0.0142740707224476	pseudobulk	edgeR	LRT	Supp_layer_neurons
Slc27a2	0.599329398246474	2.27995419223345	12.2550434210334	0.000464002355399023	0.0145810148843788	pseudobulk	edgeR	LRT	Supp_layer_neurons
Vmn1r83	4.6687259119471	-3.63791796460171	12.2434489601002	0.000466894477680166	0.0146242612985075	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm13652	4.6687259119471	-3.63791796460171	12.2434489601002	0.000466894477680166	0.0146242612985075	pseudobulk	edgeR	LRT	Supp_layer_neurons
Trp73	-1.57078720096807	-0.919020336344183	12.2421757840033	0.000467213165177708	0.0146242612985075	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm50076	2.03415079459304	-2.44100258138453	12.2077306302827	0.000475918913021422	0.0148772874326723	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ptprz1	0.565321578874408	3.69772477884604	12.1533741342032	0.00048999138899105	0.0152971985330705	pseudobulk	edgeR	LRT	Supp_layer_neurons
2810049E08Rik	0.670644694858746	5.51404010813938	12.1424962189467	0.000492857642052146	0.0153666201460691	pseudobulk	edgeR	LRT	Supp_layer_neurons
Spata24	4.71239817054747	-3.63474379315529	12.1398878443601	0.000493547441824791	0.0153680905257787	pseudobulk	edgeR	LRT	Supp_layer_neurons
Myc	-0.97895771933992	-0.177093726267586	12.1239713646007	0.000497777812896016	0.0154796601009042	pseudobulk	edgeR	LRT	Supp_layer_neurons
Apbb1ip	1.02346043752726	0.928415292597525	12.1160169728768	0.000499905672060528	0.0155256418722798	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm33125	0.907499316600167	-0.222488123991251	12.1096299678895	0.000501620887388896	0.0155587054487913	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ryr3	-0.453807606351859	7.71697732810025	12.1059206722887	0.000502619735384863	0.0155694926839296	pseudobulk	edgeR	LRT	Supp_layer_neurons
Olfr878	1.3184039162703	-1.60550913719092	12.0937611423729	0.000505908181618329	0.0156510844181381	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ier2	0.672195956122651	3.27657934212274	12.0716031320492	0.000511956584281919	0.0158177387035114	pseudobulk	edgeR	LRT	Supp_layer_neurons
Bcor	-0.485779697173174	5.81334325404863	12.0642742117962	0.000513973158527593	0.0158595536942308	pseudobulk	edgeR	LRT	Supp_layer_neurons
BC030500	0.875378466621056	1.16944126004818	11.9994384504892	0.000532165832135701	0.0163997599351716	pseudobulk	edgeR	LRT	Supp_layer_neurons
Trpc3	0.455516293515943	5.18853150241052	11.9846449292248	0.0005364071172748	0.0165091889350187	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm12596	-4.83530322805218	-3.2584600546984	11.9766638998488	0.000538709423013547	0.0165587366863059	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ece1	-0.632508669424819	6.21421489764606	11.9607416209474	0.000543332406396207	0.0166652812194139	pseudobulk	edgeR	LRT	Supp_layer_neurons
Pde5a	-1.08382122143176	1.3042233319553	11.9599289641408	0.00054356943008877	0.0166652812194139	pseudobulk	edgeR	LRT	Supp_layer_neurons
Nptx1	-0.793944884966299	5.69996953217907	11.9487360203938	0.00054684466215139	0.0167442295143257	pseudobulk	edgeR	LRT	Supp_layer_neurons
A230108P19Rik	1.18947047715906	-0.902672930248824	11.9350009418177	0.000550891001422691	0.0168465567877522	pseudobulk	edgeR	LRT	Supp_layer_neurons
Elf1	0.691005050232868	1.81484984333008	11.9284248029786	0.000552839012154284	0.0168811646045559	pseudobulk	edgeR	LRT	Supp_layer_neurons
Kcnmb2	-1.078244576445	2.39145687253466	11.9264191509062	0.000553434517436306	0.0168811646045559	pseudobulk	edgeR	LRT	Supp_layer_neurons
Cd86	1.37817446960367	-1.72995036590945	11.9219491246645	0.000554764059931421	0.0169001627123567	pseudobulk	edgeR	LRT	Supp_layer_neurons
Wnt7b	-0.6362084796813	2.97086957840277	11.9189824149259	0.000555648243225754	0.0169055624535632	pseudobulk	edgeR	LRT	Supp_layer_neurons
Spint2	0.608764041081875	3.19592355317747	11.9130181241693	0.00055743011820761	0.016920648307564	pseudobulk	edgeR	LRT	Supp_layer_neurons
